Density,Numerical_integration,Saddle_point,NNLO
10.0,(4.066222580360746e-05-49161014.411746085j),,4.771199124304e-05
10.05,(3.889981486932921e-05-54602295.00510506j),,4.6285314925420135e-05
10.100000000000001,(3.7215155929000094e-05-60646043.23020067j),,4.487795655359971e-05
10.15,(3.560474961509744e-05-67358985.07627895j),,4.349213018160401e-05
10.200000000000001,(3.4065257638694396e-05-74815238.60792188j),,4.2129721115182774e-05
10.25,(3.25934951868357e-05-83097133.05729043j),,4.0792318817183515e-05
10.3,(3.118642368893568e-05-92296118.69468865j),,3.948124682561968e-05
10.350000000000001,(2.9841143933743448e-05-102513777.53988707j),,3.819758994994897e-05
10.4,(2.8554889519367904e-05-113862946.09223905j),,3.694221898722748e-05
10.450000000000001,(2.7325020619764126e-05-126468962.49683042j),,3.571581317816031e-05
10.5,(2.61490180519397e-05-140471051.94055j),,3.451888060341047e-05
10.55,(2.5024477628943364e-05-156023865.60132986j),,3.335177670266647e-05
10.600000000000001,(2.3949104784474182e-05-173299190.17258847j),,3.2214721082742216e-05
10.65,(2.2920709455668774e-05-192487846.87210754j),,3.110781276622522e-05
10.700000000000001,(2.193720121132017e-05-213801800.94128656j),,3.00310440187743e-05
10.75,(2.0996584613424978e-05-237476504.96940437j),,2.898431288096259e-05
10.8,(2.0096954800581828e-05-263773501.96495947j),,2.7967434519454016e-05
10.850000000000001,(1.9236493282344808e-05-292983316.97016144j),,2.698015150219592e-05
10.9,(1.8413463934190714e-05-325428669.20753103j),,2.602214309310389e-05
10.950000000000001,(1.7626209183288526e-05-361468040.2943986j),,2.5093033653334905e-05
11.0,(1.6873146375753345e-05-401499638.00122344j),,2.419240022860831e-05
11.05,(1.6152764316544703e-05-445965799.4070271j),,2.331977939507727e-05
11.100000000000001,(1.5463619973615063e-05-495357882.1673977j),,2.247467342991071e-05
11.15,(1.4804335338341535e-05-550221698.012565j),,2.165655586696579e-05
11.200000000000001,(1.4173594434676005e-05-611163548.5936865j),,2.0864876492658243e-05
11.25,(1.3570140469836559e-05-678856930.461771j),,2.0099065832330986e-05
11.3,(1.2992773119721527e-05-754049983.3691889j),,1.9358539173033437e-05
